Iteration,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,MCC
1,85,92,1,5,0.96721311,0.96808565,0.96721311,0.96718566,0.93525742
2,78,92,5,8,0.92896175,0.92928567,0.92896175,0.92887213,0.85759196
3,88,87,4,4,0.95628415,0.95628415,0.95628415,0.95628415,0.9125657
4,85,85,5,7,0.93406593,0.93429155,0.93406593,0.93406593,0.86835749
5,84,88,4,6,0.94505495,0.94525687,0.94505495,0.94504167,0.89028527
6,70,96,1,15,0.91208791,0.9213995,0.91208791,0.91110172,0.83178826
7,79,94,6,3,0.95054945,0.95120319,0.95054945,0.95061709,0.90094591
8,88,82,7,5,0.93406593,0.9342441,0.93406593,0.93404202,0.86821447
9,104,69,2,7,0.95054945,0.95256147,0.95054945,0.95082074,0.89884317
10,85,90,4,3,0.96153846,0.96160816,0.96153846,0.96154427,0.92307697
