No,Kota,Produk,Harga Satuan,Jumlah Pesanan,Tipe Pembayaran,Tipe Pengiriman,Rating Produk,Harga Total
1,Makassar,Celana Jeans,102212,4,COD,Same Day,5,408848
2,Medan,Sneakers,881811,2,COD,Kilat,4,1763622
3,Semarang,Earphone,65591,3,COD,Same Day,3.5,196773
4,Makassar,Celana Jeans,868182,1,Kartu Kredit,Reguler,2.7,868182
5,Surabaya,Lipstik,897080,1,Transfer Bank,Hemat,3.5,897080
6,Denpasar,Power Bank,902566,4,Transfer Bank,Kilat,2.4,3610264
7,Semarang,Sneakers,448670,3,Transfer Bank,Same Day,1.1,1346010
8,Semarang,Kaos,642825,1,Transfer Bank,Hemat,2.6,642825
9,Makassar,Kaos,869104,2,ShopeePay,Reguler,4.7,1738208
10,Bandung,Kaos,309372,3,ShopeePay,Reguler,3.5,928116
11,Surabaya,Kaos,34429,3,COD,Kilat,1.3,103287
12,Makassar,Power Bank,104294,4,ShopeePay,Reguler,4.5,417176
13,Surabaya,Celana Jeans,397721,4,Transfer Bank,Hemat,2.1,1590884
14,Surabaya,Jam Tangan,204087,1,Kartu Kredit,Same Day,2,204087
15,Denpasar,Celana Jeans,894506,4,COD,Reguler,2.2,3578024
16,Semarang,Tas Ransel,351080,3,COD,Same Day,3.3,1053240
17,Medan,Earphone,231979,1,Transfer Bank,Hemat,3.2,231979
18,Denpasar,Kemeja,863810,1,Transfer Bank,Hemat,3,863810
19,Denpasar,Jam Tangan,57310,3,Transfer Bank,Same Day,3.9,171930
20,Surabaya,Jam Tangan,646115,1,ShopeePay,Hemat,2.3,646115
21,Yogyakarta,Celana Jeans,219899,2,COD,Kilat,4.1,439798
22,Semarang,Jam Tangan,448472,2,Transfer Bank,Reguler,1.7,896944
23,Bandung,Parfum,227500,1,Kartu Kredit,Kilat,4.1,227500
24,Denpasar,Parfum,119862,4,COD,Kilat,3.7,479448
25,Medan,Tas Ransel,321033,2,COD,Kilat,3.7,642066
26,Yogyakarta,Kemeja,333572,1,ShopeePay,Same Day,2.9,333572
27,Yogyakarta,Lipstik,392646,2,COD,Same Day,3.7,785292
28,Bandung,Power Bank,450423,4,Transfer Bank,Hemat,1.3,1801692
29,Denpasar,Celana Jeans,594543,3,Transfer Bank,Same Day,4.4,1783629
30,Medan,Power Bank,387968,1,Kartu Kredit,Hemat,1.2,387968
31,Semarang,Lipstik,242603,1,COD,Same Day,1.6,242603
32,Jakarta,Celana Jeans,811841,1,COD,Hemat,3.3,811841
33,Medan,Celana Jeans,62438,1,ShopeePay,Reguler,4,62438
34,Bandung,Kemeja,261482,1,Transfer Bank,Hemat,1.3,261482
35,Yogyakarta,Power Bank,785598,1,Kartu Kredit,Reguler,4.7,785598
36,Semarang,Parfum,805372,4,Transfer Bank,Hemat,4.9,3221488
37,Medan,Kaos,814301,3,COD,Same Day,3.4,2442903
38,Jakarta,Power Bank,514476,4,COD,Same Day,2.9,2057904
39,Jakarta,Earphone,732222,4,Kartu Kredit,Reguler,4,2928888
40,Surabaya,Earphone,501153,3,COD,Kilat,2.3,1503459
41,Surabaya,Celana Jeans,832390,4,Kartu Kredit,Kilat,3,3329560
42,Makassar,Kaos,227374,2,Kartu Kredit,Hemat,4.7,454748
43,Bandung,Sneakers,957272,4,Transfer Bank,Same Day,4.8,3829088
44,Denpasar,Lipstik,771690,1,Kartu Kredit,Kilat,4.7,771690
45,Medan,Tas Ransel,701505,2,COD,Same Day,2,1403010
46,Medan,Kaos,357766,2,ShopeePay,Same Day,1.9,715532
47,Denpasar,Tas Ransel,521955,3,ShopeePay,Same Day,2.2,1565865
48,Makassar,Power Bank,570730,4,COD,Hemat,2.8,2282920
49,Yogyakarta,Power Bank,101948,4,ShopeePay,Reguler,2.3,407792
50,Yogyakarta,Tas Ransel,274657,2,ShopeePay,Hemat,2.5,549314
51,Makassar,Lipstik,307740,4,Kartu Kredit,Kilat,3.5,1230960
52,Yogyakarta,Kaos,620079,4,ShopeePay,Reguler,4.1,2480316
53,Surabaya,Sneakers,586694,3,ShopeePay,Kilat,3.9,1760082
54,Medan,Celana Jeans,60524,2,ShopeePay,Reguler,4.3,121048
55,Makassar,Kemeja,174404,1,Transfer Bank,Reguler,1.1,174404
56,Medan,Power Bank,130160,2,COD,Hemat,1.2,260320
57,Denpasar,Earphone,166836,3,Kartu Kredit,Same Day,4.2,500508
58,Jakarta,Lipstik,702923,3,ShopeePay,Same Day,3.1,2108769
59,Surabaya,Kemeja,500891,3,COD,Reguler,3.3,1502673
60,Semarang,Sneakers,187442,4,ShopeePay,Hemat,1.2,749768
61,Surabaya,Jam Tangan,811494,2,Transfer Bank,Kilat,2,1622988
62,Makassar,Celana Jeans,588933,4,Transfer Bank,Kilat,3.6,2355732
63,Semarang,Power Bank,404903,4,ShopeePay,Same Day,4.4,1619612
64,Jakarta,Celana Jeans,289388,2,ShopeePay,Same Day,4.7,578776
65,Makassar,Kemeja,943876,3,ShopeePay,Kilat,3,2831628
66,Bandung,Celana Jeans,780769,1,Transfer Bank,Kilat,3.2,780769
67,Medan,Jam Tangan,801608,1,Transfer Bank,Hemat,4.3,801608
68,Jakarta,Kemeja,105501,2,COD,Kilat,3.2,211002
69,Medan,Power Bank,137450,2,Kartu Kredit,Hemat,3.1,274900
70,Yogyakarta,Kaos,739831,3,Kartu Kredit,Same Day,4.6,2219493
71,Bandung,Earphone,785893,2,Transfer Bank,Kilat,4.2,1571786
72,Bandung,Kemeja,299100,2,Kartu Kredit,Same Day,4.6,598200
73,Jakarta,Parfum,977977,3,ShopeePay,Reguler,1.9,2933931
74,Bandung,Jam Tangan,951398,3,COD,Reguler,3.1,2854194
75,Semarang,Kemeja,512134,4,Transfer Bank,Reguler,4.4,2048536
76,Bandung,Kemeja,220658,2,Transfer Bank,Kilat,1.4,441316
77,Medan,Parfum,560997,1,Kartu Kredit,Same Day,4.2,560997
78,Medan,Power Bank,756618,2,ShopeePay,Kilat,1.7,1513236
79,Makassar,Kemeja,400572,1,COD,Same Day,4.2,400572
80,Medan,Earphone,297354,1,Kartu Kredit,Hemat,3.4,297354
81,Makassar,Celana Jeans,987014,1,Transfer Bank,Kilat,1.8,987014
82,Medan,Power Bank,908513,4,Transfer Bank,Reguler,2.9,3634052
83,Semarang,Earphone,189746,3,Kartu Kredit,Hemat,3.7,569238
84,Denpasar,Power Bank,538467,3,ShopeePay,Same Day,3.5,1615401
85,Makassar,Earphone,120025,4,COD,Kilat,2.7,480100
86,Surabaya,Jam Tangan,430949,3,COD,Same Day,4.6,1292847
87,Yogyakarta,Earphone,171152,4,COD,Same Day,3.1,684608
88,Jakarta,Tas Ransel,515416,2,COD,Kilat,3,1030832
89,Medan,Earphone,204484,4,ShopeePay,Kilat,1.2,817936
90,Bandung,Kaos,930908,3,Transfer Bank,Same Day,4.7,2792724
91,Denpasar,Kaos,210043,3,Transfer Bank,Same Day,1.7,630129
92,Medan,Lipstik,977213,2,COD,Hemat,3.1,1954426
93,Bandung,Tas Ransel,866278,4,COD,Reguler,4.2,3465112
94,Yogyakarta,Tas Ransel,85480,2,COD,Same Day,1.9,170960
95,Yogyakarta,Celana Jeans,787128,1,Kartu Kredit,Reguler,3.1,787128
96,Yogyakarta,Tas Ransel,335104,4,Kartu Kredit,Hemat,2,1340416
97,Bandung,Celana Jeans,254622,2,Transfer Bank,Reguler,4,509244
98,Medan,Lipstik,454368,2,Transfer Bank,Reguler,3.3,908736
99,Yogyakarta,Lipstik,440466,3,COD,Hemat,4.4,1321398
100,Semarang,Jam Tangan,892197,4,Kartu Kredit,Same Day,4.6,3568788
101,Makassar,Kaos,661553,1,ShopeePay,Reguler,3.6,661553
102,Bandung,Earphone,854569,1,Kartu Kredit,Same Day,3.9,854569
103,Bandung,Earphone,757371,4,Transfer Bank,Same Day,3.2,3029484
104,Medan,Parfum,138922,4,Kartu Kredit,Kilat,2.5,555688
105,Bandung,Parfum,536576,2,Transfer Bank,Same Day,3.6,1073152
106,Bandung,Sneakers,665568,3,COD,Same Day,4.6,1996704
107,Yogyakarta,Power Bank,459628,3,ShopeePay,Reguler,2.7,1378884
108,Medan,Jam Tangan,326020,3,COD,Same Day,2.3,978060
109,Yogyakarta,Sneakers,900979,4,COD,Same Day,2.6,3603916
110,Makassar,Sneakers,749024,3,ShopeePay,Kilat,2.7,2247072
111,Denpasar,Kemeja,856659,2,ShopeePay,Kilat,1.3,1713318
112,Makassar,Kemeja,707810,4,ShopeePay,Reguler,3,2831240
113,Denpasar,Sneakers,104433,4,Transfer Bank,Reguler,3,417732
114,Yogyakarta,Tas Ransel,93704,3,COD,Kilat,3.4,281112
115,Makassar,Power Bank,551149,1,Transfer Bank,Kilat,2.5,551149
116,Medan,Jam Tangan,258366,1,ShopeePay,Hemat,3.5,258366
